(Parent) ASIN;(Child) ASIN;Title;Sessions - Total;Session Percentage - Total;Page Views - Total;Page Views Percentage - Total;Featured Offer (Buy Box) Percentage;Units Ordered;Units Ordered - B2B;Unit Session Percentage;Unit Session Percentage - B2B;Ordered Product Sales;Ordered Product Sales - B2B;Total Order Items;Total Order Items - B2B
B08WL8H1KL;B08WLGV4ML;Replacement New US Backlit Keyboard with Pointer for HP 840 G3, 745 G3, 840 G4, 745 G4;508;19.35%;720;19.29%;97.22%;57;15;11.22%;2.95%;$1,985.46;$516.30;44;10
B08DP43NRH;B07WDT3WCQ;Replacement US Non-Backlit Keyboard for Lenovo Thinkpad T431 T431S E431 T440 T440P T440S E440 L440 T450 T450S T460 T460P L450 T440E;167;6.36%;260;6.96%;87.31%;27;10;16.17%;5.99%;$911.79;$317.13;19;4
B08VQFLB7S;B081878WFB;Replacement US Backlit Keyboard for Lenovo Thinkpad T470 T480;161;6.13%;248;6.64%;81.85%;17;7;10.56%;4.35%;$719.84;$314.93;16;7
B08DP43NRH;B07GPNH363;Replacement US Backlit Keyboard for Lenovo Thinkpad T431 T431S E431 T440 T440P T440S E440 L440 T450 T450S T460 L450 T440E;190;7.24%;302;8.09%;81.46%;16;1;8.42%;0.53%;$783.68;$48.98;16;1
B08VVCXGWG;B08JKY8Z73;Replacement Lenovo T480s Regular Black - US Non-Backlit Keyboard for Lenovo Thinkpad T480s, T490, E490, L480, L490, L380, L390, L380 Yoga, L390 Yoga, E490, E480;56;2.13%;77;2.06%;85.71%;13;4;23.21%;7.14%;$454.74;$139.92;13;4
B08TVTLHDB;B07GXQWSRS;Replacement US Non-Backlit Keyboard for Lenovo Thinkpad T520 T520i T420S T420 T420i T400S T410S T410 T410I T510 T510i W510 W520 X220T X220s X220i X220;121;4.61%;188;5.04%;99.47%;11;1;9.09%;0.83%;$427.90;$38.90;11;1
B08DRRL8RD;B0818759KV;Replacement US Non-Backlit Keyboard for Lenovo Thinkpad E531 T540 T540P T550 L540 W540 W550S W550 W541;39;1.49%;66;1.77%;98.48%;10;2;25.64%;5.13%;$329.80;$65.96;10;2
B08DRRL8RD;B08TVZR52L;Replacement US Backlit Keyboard for Lenovo Thinkpad E531 T540 T540P T550 L540 W540 W550S W550 W541;76;2.90%;129;3.46%;97.67%;10;1;13.16%;1.32%;$499.80;$49.98;10;1
B08VHFV3YR;B08CLTVWGR;Replacement Backlit Keyboard for Lenovo Thinkpad T470s (Backlit, US);35;1.33%;49;1.31%;100.00%;10;4;28.57%;11.43%;$576.42;$228.48;8;3
B08TVYCFJL;B07WGXVQ9N;Replacement US Non-Backlit Keyboard for Lenovo Thinkpad T430 T430i T430s T430si T430U T530 T530i T530S W530 X13X X230 X230i X230it X230T;81;3.09%;120;3.21%;95.83%;6;1;7.41%;1.23%;$275.70;$45.95;6;1
B08K9GD18K;B07GR8BRFC;Replacement US Backlit Keyboard for Lenovo Thinkpad T460s T470s;47;1.79%;74;1.98%;100.00%;5;1;10.64%;2.13%;$219.96;$54.99;5;1
B08VYRFN2S;B07N3TL3WG;Replacement US Backlit Keyboard for Lenovo Thinkpad P50 P70;26;0.99%;47;1.26%;100.00%;5;0;19.23%;0.00%;$299.95;$0.00;5;0
B092VKXPLS;B092TVXDG1;Replacement New US Backlit Keyboard with Pointer for HP 840 G1, 845 G1, 850 G1, 840 G2, 845 G2, 850 G2;41;1.56%;62;1.66%;91.94%;5;0;12.20%;0.00%;$179.95;$0.00;5;0
B08TVTKDDH;B08C2HM7CN;Replacement US Non-Backlit Keyboard for Lenovo Thinkpad X230s X240 X240S X240I X250 X260 X270;56;2.13%;93;2.49%;100.00%;4;0;7.14%;0.00%;$135.96;$0.00;4;0
B08K9GD18K;B08K9D983C;Replacement US Non-Backlit Keyboard for Lenovo Thinkpad T460s;37;1.41%;49;1.31%;100.00%;3;1;8.11%;2.70%;$125.97;$41.99;3;1
B08WLGBYM1;B08WLG12DC;Replacement New US Backlit Keyboard with Pointer for HP 840 G1, 845 G1, 850 G1, 840 G2, 845 G2, 850 G2;51;1.94%;71;1.90%;98.59%;2;1;3.92%;1.96%;$69.98;$34.99;2;1
B08VNCLPSN;B07N3ZQ378;Replacement US Non-Backlit Keyboard for Lenovo Thinkpad E570 E575 E570C;3;0.11%;3;0.08%;100.00%;2;0;66.67%;0.00%;$73.98;$0.00;1;0
B08DRRL8RD;;Replacement US International Backlit Keyboard for Lenovo Thinkpad E531 T540 T540P T550 L540 W540 W550S W550 W541;4;0.15%;5;0.13%;80.00%;1;0;25.00%;0.00%;$61.99;$0.00;1;0
B08TVYCFJL;;Replacement US International Backlit Keyboard for Lenovo Thinkpad T430 T430i T430s T430si T430U T530 T530i T530S W530 X13X X230 X230i X230it X230T;26;0.99%;32;0.86%;90.63%;1;0;3.85%;0.00%;$52.95;$0.00;1;0
B08TVYCFJL;;Replacement Swiss Backlit Keyboard for Lenovo Thinkpad T430 T430i T430s T430si T430U T530 T530i T530S W530 X13X X230 X230i X230it X230T;2;0.08%;3;0.08%;100.00%;1;0;50.00%;0.00%;$52.95;$0.00;1;0
B08DP43NRH;B07GQWBJR7;Replacement Russian Backlit Keyboard for Lenovo Thinkpad T431 T431S E431 T440 T440P T440S E440 L440 T450 T450S T460 L450 T440E;8;0.30%;13;0.35%;100.00%;1;0;12.50%;0.00%;$48.98;$0.00;1;0
B08LHNGSC5;B081876KBD;Replacement US Non-Backlit Keyboard for Lenovo Thinkpad T570 T580 P51s P52s (NO FIT on P51, P52);28;1.07%;49;1.31%;93.88%;1;1;3.57%;3.57%;$52.99;$52.99;1;1
B08LHNGSC5;B08187M5XQ;Replacement US Backlit Keyboard for Lenovo Thinkpad T570 T580 P51s P52s;16;0.61%;21;0.56%;90.48%;1;0;6.25%;0.00%;$59.99;$0.00;1;0
B08DP43NRH;B08DP2TK4Q;Replacement UK Non-Backlit Keyboard for Lenovo Thinkpad T431 T431S E431 T440 T440P T440S E440 L440 T450 T450S T460 L450 T440E;8;0.30%;13;0.35%;100.00%;1;0;12.50%;0.00%;$34.98;$0.00;1;0
B08T67QRC6;B08K9BM9QB;Replacement Norwegian Non-Backlit Keyboard for Lenovo Thinkpad E550 E560 E560c;6;0.23%;6;0.16%;83.33%;1;0;16.67%;0.00%;$47.99;$0.00;1;0
B08VKQJ9PJ;B08RGRVXHD;Replacement US Non-Backlit Keyboard for Lenovo Thinkpad X280 X390 X395;15;0.57%;23;0.62%;100.00%;1;0;6.67%;0.00%;$40.99;$0.00;1;0
B08VKQJ9PJ;B08RGXV8TB;Replacement Swedish – Finnish Backlit Keyboard for Lenovo Thinkpad X280 X390 X395;1;0.04%;1;0.03%;100.00%;1;0;100.00%;0.00%;$54.99;$0.00;1;0
B08VKQJ9PJ;B08RHG8QVB;Replacement UK Backlit Keyboard for Lenovo Thinkpad X280 X390 X395;1;0.04%;1;0.03%;100.00%;1;0;100.00%;0.00%;$54.99;$0.00;1;0
B08VYRFN2S;B08VZ4GLGR;Replacement Bulgarian Backlit Keyboard for Lenovo Thinkpad P50 P70;5;0.19%;8;0.21%;87.50%;1;0;20.00%;0.00%;$75.99;$0.00;1;0
B07FC1N7C8;B07FC1N7C8;Replacement Spanish Backlit Keyboard for Lenovo Thinkpad T431 T431S E431 T440 T440P T440S E440 L440 T450 T450S T460 L450 T440E;3;0.11%;3;0.08%;100.00%;0;0;0.00%;0.00%;$0.00;$0.00;0;0
B08TVYCFJL;B07FM69Z3M;Replacement French Backlit Keyboard for Lenovo Thinkpad T430 T430i T430s T430si T430U T530 T530i T530S W530 X13X X230 X230i X230it X230T;3;0.11%;3;0.08%;100.00%;0;0;0.00%;0.00%;$0.00;$0.00;0;0
B08TVYCFJL;B07FM9SVC7;Replacement Spanish Backlit Keyboard for Lenovo Thinkpad T430 T430i T430s T430si T430U T530 T530i T530S W530 X13X X230 X230i X230it X230T;3;0.11%;3;0.08%;100.00%;0;0;0.00%;0.00%;$0.00;$0.00;0;0
B08TVYCFJL;B07FMD9RZK;Replacement German Backlit Keyboard for Lenovo Thinkpad T430 T430i T430s T430si T430U T530 T530i T530S W530 X13X X230 X230i X230it X230T;6;0.23%;9;0.24%;100.00%;0;0;0.00%;0.00%;$0.00;$0.00;0;0
B08K9GD18K;B07G6NP3CM;Replacement German Backlit Keyboard for Lenovo Thinkpad T460s T470s;1;0.04%;1;0.03%;100.00%;0;0;0.00%;0.00%;$0.00;$0.00;0;0
B08VQFLB7S;B07G6PPD6F;Replacement UK Backlit Keyboard for Lenovo Thinkpad T470 T480;6;0.23%;7;0.19%;85.71%;0;0;0.00%;0.00%;$0.00;$0.00;0;0
B08VHFV3YR;B07G6QSXVY;Replacement French Backlit Keyboard for Lenovo Thinkpad T470s;1;0.04%;1;0.03%;100.00%;0;0;0.00%;0.00%;$0.00;$0.00;0;0
B08K9GD18K;B07G6R9V9Q;Replacement Spanish Backlit Keyboard for Lenovo Thinkpad T460s T470s;27;1.03%;34;0.91%;100.00%;0;0;0.00%;0.00%;$0.00;$0.00;0;0
B08VHFV3YR;B07G6RLNDP;Replacement Spanish Backlit Keyboard for Lenovo Thinkpad T470s;2;0.08%;2;0.05%;100.00%;0;0;0.00%;0.00%;$0.00;$0.00;0;0
B08VQFLB7S;B07G6RNG11;Replacement Scandinavian – Nordic Backlit Keyboard for Lenovo Thinkpad T470 T480;3;0.11%;3;0.08%;100.00%;0;0;0.00%;0.00%;$0.00;$0.00;0;0
B08VQFLB7S;B07G6RV69F;Replacement Italian Backlit Keyboard for Lenovo Thinkpad T470 T480;4;0.15%;4;0.11%;100.00%;0;0;0.00%;0.00%;$0.00;$0.00;0;0
B08VHFV3YR;B07G6RVNSV;Replacement German Backlit Keyboard for Lenovo Thinkpad T470s;2;0.08%;2;0.05%;100.00%;0;0;0.00%;0.00%;$0.00;$0.00;0;0
B08TVTKDDH;B07GNJL9DM;Replacement French Backlit Keyboard for Lenovo Thinkpad X230s X240 X240S X240I X250 X260 X270;1;0.04%;1;0.03%;100.00%;0;0;0.00%;0.00%;$0.00;$0.00;0;0
B08TVTKDDH;B07GNMFZVP;Replacement Norwegian Backlit Keyboard for Lenovo Thinkpad X230s X240 X240S X240I X250 X260 X270;2;0.08%;4;0.11%;100.00%;0;0;0.00%;0.00%;$0.00;$0.00;0;0
B08TVTKDDH;B07GNMKFQJ;Replacement Belgian Backlit Keyboard for Lenovo Thinkpad X230s X240 X240S X240I X250 X260 X270;4;0.15%;5;0.13%;100.00%;0;0;0.00%;0.00%;$0.00;$0.00;0;0
B08TVTKDDH;B07GNN71CT;Replacement US International Backlit Keyboard for Lenovo Thinkpad X230s X240 X240S X240I X250 X260 X270;17;0.65%;19;0.51%;100.00%;0;0;0.00%;0.00%;$0.00;$0.00;0;0
B08TVTKDDH;B07GNP5FYB;Replacement Portuguese Backlit Keyboard for Lenovo Thinkpad X230s X240 X240S X240I X250 X260 X270;2;0.08%;3;0.08%;100.00%;0;0;0.00%;0.00%;$0.00;$0.00;0;0
B08TVTKDDH;B07GNR79QV;Replacement Swiss Backlit Keyboard for Lenovo Thinkpad X230s X240 X240S X240I X250 X260 X270;2;0.08%;2;0.05%;100.00%;0;0;0.00%;0.00%;$0.00;$0.00;0;0
B08DRRL8RD;B07GPC7D7W;Replacement German Backlit Keyboard for Lenovo Thinkpad E531 T540 T540P T550 L540 W540 W550S W550 W541;1;0.04%;1;0.03%;100.00%;0;0;0.00%;0.00%;$0.00;$0.00;0;0
B08DRRL8RD;B07GPDH9RQ;Replacement Bulgarian Backlit Keyboard for Lenovo Thinkpad E531 T540 T540P T550 L540 W540 W550S W550 W541;2;0.08%;2;0.05%;100.00%;0;0;0.00%;0.00%;$0.00;$0.00;0;0
B08DRRL8RD;B07GPGNMYR;Replacement Czech Backlit Keyboard for Lenovo Thinkpad E531 T540 T540P T550 L540 W540 W550S W550 W541;1;0.04%;1;0.03%;100.00%;0;0;0.00%;0.00%;$0.00;$0.00;0;0
B08DP43NRH;B07GPNNK6C;Replacement Dutch Backlit Keyboard for Lenovo Thinkpad T431 T431S E431 T440 T440P T440S E440 L440 T450 T450S T460 L450 T440E;3;0.11%;3;0.08%;100.00%;0;0;0.00%;0.00%;$0.00;$0.00;0;0
B08DRRL8RD;B07GPP2N9C;Replacement Spanish Backlit Keyboard for Lenovo Thinkpad E531 T540 T540P T550 L540 W540 W550S W550 W541;6;0.23%;6;0.16%;83.33%;0;0;0.00%;0.00%;$0.00;$0.00;0;0
B08DP43NRH;B07GPSR65R;Replacement Bulgarian Backlit Keyboard for Lenovo Thinkpad T431 T431S E431 T440 T440P T440S E440 L440 T450 T450S T460 L450 T440E;2;0.08%;2;0.05%;100.00%;0;0;0.00%;0.00%;$0.00;$0.00;0;0
B08DP43NRH;B07GPTL7Z7;Replacement Danish Backlit Keyboard for Lenovo Thinkpad T431 T431S E431 T440 T440P T440S E440 L440 T450 T450S T460 L450 T440E;1;0.04%;1;0.03%;100.00%;0;0;0.00%;0.00%;$0.00;$0.00;0;0
B08DP43NRH;B07GPV9MLS;Replacement Czech Backlit Keyboard for Lenovo Thinkpad T431 T431S E431 T440 T440P T440S E440 L440 T450 T450S T460 T460P L450 T440E;4;0.15%;4;0.11%;100.00%;0;0;0.00%;0.00%;$0.00;$0.00;0;0
B08DP43NRH;B07GPW33Q2;Replacement Swiss Backlit Keyboard for Lenovo Thinkpad T431 T431S E431 T440 T440P T440S E440 L440 T450 T450S T460 L450 T440E;2;0.08%;3;0.08%;33.33%;0;0;0.00%;0.00%;$0.00;$0.00;0;0
B08DRRL8RD;B07GPWTRYQ;Replacement Polish Backlit Keyboard for Lenovo Thinkpad E531 T540 T540P T550 L540 W540 W550S W550 W541;1;0.04%;1;0.03%;100.00%;0;0;0.00%;0.00%;$0.00;$0.00;0;0
B08DP43NRH;B07GPYHLJK;Replacement Swedish – Finnish Backlit Keyboard for Lenovo Thinkpad T431 T431S E431 T440 T440P T440S E440 L440 T450 T450S T460 L450 T440E;3;0.11%;3;0.08%;66.67%;0;0;0.00%;0.00%;$0.00;$0.00;0;0
B08DRRL8RD;B07GPZ8NNX;Replacement Belgian Backlit Keyboard for Lenovo Thinkpad E531 T540 T540P T550 L540 W540 W550S W550 W541;4;0.15%;5;0.13%;100.00%;0;0;0.00%;0.00%;$0.00;$0.00;0;0
B08DRRL8RD;B07GPZDSDN;Replacement Portuguese Backlit Keyboard for Lenovo Thinkpad E531 T540 T540P T550 L540 W540 W550S W550 W541;1;0.04%;1;0.03%;100.00%;0;0;0.00%;0.00%;$0.00;$0.00;0;0
B08DP43NRH;B07GPZFN25;Replacement US International Backlit Keyboard for Lenovo Thinkpad T431 T431S E431 T440 T440P T440S E440 L440 T450 T450S T460 L450 T440E;3;0.11%;3;0.08%;100.00%;0;0;0.00%;0.00%;$0.00;$0.00;0;0
B08DP43NRH;B07GPZJVPW;Replacement Hungarian Backlit Keyboard for Lenovo Thinkpad T431 T431S E431 T440 T440P T440S E440 L440 T450 T450S T460 L450 T440E;4;0.15%;6;0.16%;100.00%;0;0;0.00%;0.00%;$0.00;$0.00;0;0
B08DRRL8RD;B07GQ2KKWT;Replacement Hungarian Backlit Keyboard for Lenovo Thinkpad E531 T540 T540P T550 L540 W540 W550S W550 W541;2;0.08%;2;0.05%;100.00%;0;0;0.00%;0.00%;$0.00;$0.00;0;0
B08DP43NRH;B07GQB3JXF;Replacement Belgian Backlit Keyboard for Lenovo Thinkpad T431 T431S E431 T440 T440P T440S E440 L440 T450 T450S T460 L450 T440E;10;0.38%;12;0.32%;91.67%;0;0;0.00%;0.00%;$0.00;$0.00;0;0
B08DP43NRH;B07GQKPF7W;Replacement Portuguese Backlit Keyboard for Lenovo Thinkpad T431 T431S E431 T440 T440P T440S E440 L440 T450 T450S T460 L450 T440E;2;0.08%;2;0.05%;50.00%;0;0;0.00%;0.00%;$0.00;$0.00;0;0
B08TVYCFJL;B07GQWH4H8;Replacement Portuguese Backlit Keyboard for Lenovo Thinkpad T430 T430i T430s T430si T430U T530 T530i T530S W530 X13X X230 X230i X230it X230T;3;0.11%;6;0.16%;83.33%;0;0;0.00%;0.00%;$0.00;$0.00;0;0
B08VHFV3YR;B07GQWM635;Replacement Czech Backlit Keyboard for Lenovo Thinkpad T470s;1;0.04%;1;0.03%;100.00%;0;0;0.00%;0.00%;$0.00;$0.00;0;0
B08TVYCFJL;B07GQWN6Q1;Replacement Danish Backlit Keyboard for Lenovo Thinkpad T430 T430i T430s T430si T430U T530 T530i T530S W530 X13X X230 X230i X230it X230T;7;0.27%;10;0.27%;90.00%;0;0;0.00%;0.00%;$0.00;$0.00;0;0
B08VQFLB7S;B07GQWT766;Replacement Belgian Backlit Keyboard for Lenovo Thinkpad T470 T480;15;0.57%;20;0.54%;90.00%;0;0;0.00%;0.00%;$0.00;$0.00;0;0
B08VHFV3YR;B07GQY8BWD;Replacement Bulgarian Backlit Keyboard for Lenovo Thinkpad T470s;2;0.08%;2;0.05%;100.00%;0;0;0.00%;0.00%;$0.00;$0.00;0;0
B08TVYCFJL;B07GQYPRCZ;Replacement Bulgarian Backlit Keyboard for Lenovo Thinkpad T430 T430i T430s T430si T430U T530 T530i T530S W530 X13X X230 X230i X230it X230T;1;0.04%;1;0.03%;100.00%;0;0;0.00%;0.00%;$0.00;$0.00;0;0
B08VQFLB7S;B07GQYWDGX;Replacement Portuguese Backlit Keyboard for Lenovo Thinkpad T470 T480;7;0.27%;8;0.21%;75.00%;0;0;0.00%;0.00%;$0.00;$0.00;0;0
B08VQFLB7S;B07GQYWMTG;Replacement Russian Backlit Keyboard for Lenovo Thinkpad T470 T480;4;0.15%;4;0.11%;100.00%;0;0;0.00%;0.00%;$0.00;$0.00;0;0
B08VHFV3YR;B07GQYZLNW;Replacement Belgian Backlit Keyboard for Lenovo Thinkpad T470s;4;0.15%;5;0.13%;100.00%;0;0;0.00%;0.00%;$0.00;$0.00;0;0
B08K9GD18K;B07GR3JXPW;Replacement Swedish – Finnish Backlit Keyboard for Lenovo Thinkpad T460s T470s;3;0.11%;4;0.11%;100.00%;0;0;0.00%;0.00%;$0.00;$0.00;0;0
B08K9GD18K;B07GR3KVQ2;Replacement Portuguese Backlit Keyboard for Lenovo Thinkpad T460s T470s;3;0.11%;5;0.13%;100.00%;0;0;0.00%;0.00%;$0.00;$0.00;0;0
B08VQFLB7S;B07GR3RXHZ;Replacement Bulgarian Backlit Keyboard for Lenovo Thinkpad T470 T480;6;0.23%;7;0.19%;85.71%;0;0;0.00%;0.00%;$0.00;$0.00;0;0
B08VQFLB7S;B07GR48VK8;Replacement Czech Backlit Keyboard for Lenovo Thinkpad T470 T480;3;0.11%;3;0.08%;100.00%;0;0;0.00%;0.00%;$0.00;$0.00;0;0
B08TVYCFJL;B07GR4KBGM;Replacement Dutch Backlit Keyboard for Lenovo Thinkpad T430 T430i T430s T430si T430U T530 T530i T530S W530 X13X X230 X230i X230it X230T;1;0.04%;1;0.03%;100.00%;0;0;0.00%;0.00%;$0.00;$0.00;0;0
B08TVYCFJL;B07GR4KKT4;Replacement Swedish – Finnish Backlit Keyboard for Lenovo Thinkpad T430 T430i T430s T430si T430U T530 T530i T530S W530 X13X X230 X230i X230it X230T;1;0.04%;1;0.03%;100.00%;0;0;0.00%;0.00%;$0.00;$0.00;0;0
B08VQFLB7S;B07GR4LGNY;Replacement Dutch Backlit Keyboard for Lenovo Thinkpad T470 T480;2;0.08%;2;0.05%;100.00%;0;0;0.00%;0.00%;$0.00;$0.00;0;0
B08VQFLB7S;B07GR55L99;Replacement Swiss Backlit Keyboard for Lenovo Thinkpad T470 T480;5;0.19%;6;0.16%;83.33%;0;0;0.00%;0.00%;$0.00;$0.00;0;0
B08VQFLB7S;B07GR5CG9B;Replacement US International Backlit Keyboard for Lenovo Thinkpad T470 T480;11;0.42%;11;0.29%;36.36%;0;0;0.00%;0.00%;$0.00;$0.00;0;0
B08TVYCFJL;B07GR5FRHZ;Replacement Polish Backlit Keyboard for Lenovo Thinkpad T430 T430i T430s T430si T430U T530 T530i T530S W530 X13X X230 X230i X230it X230T;1;0.04%;1;0.03%;100.00%;0;0;0.00%;0.00%;$0.00;$0.00;0;0
B08VQFLB7S;B07GR611BB;Replacement Norwegian Backlit Keyboard for Lenovo Thinkpad T470 T480;4;0.15%;5;0.13%;100.00%;0;0;0.00%;0.00%;$0.00;$0.00;0;0
B08VHFV3YR;B07GR62WK9;Replacement Russian Backlit Keyboard for Lenovo Thinkpad T470s;1;0.04%;1;0.03%;100.00%;0;0;0.00%;0.00%;$0.00;$0.00;0;0
B08VQFLB7S;B07GR64XTN;Replacement Hungarian Backlit Keyboard for Lenovo Thinkpad T470 T480;3;0.11%;4;0.11%;50.00%;0;0;0.00%;0.00%;$0.00;$0.00;0;0
B08VQFLB7S;B07GR6D97C;Replacement Danish Backlit Keyboard for Lenovo Thinkpad T470 T480;4;0.15%;4;0.11%;50.00%;0;0;0.00%;0.00%;$0.00;$0.00;0;0
B08VQFLB7S;B07GR6H2WG;Replacement Swedish – Finnish Backlit Keyboard for Lenovo Thinkpad T470 T480;4;0.15%;4;0.11%;100.00%;0;0;0.00%;0.00%;$0.00;$0.00;0;0
B08TVYCFJL;B07GR6VLQG;Replacement Belgian Backlit Keyboard for Lenovo Thinkpad T430 T430i T430s T430si T430U T530 T530i T530S W530 X13X X230 X230i X230it X230T;9;0.34%;16;0.43%;93.75%;0;0;0.00%;0.00%;$0.00;$0.00;0;0
B08K9GD18K;B07GR7FQKV;Replacement Russian Backlit Keyboard for Lenovo Thinkpad T460s T470s;1;0.04%;1;0.03%;100.00%;0;0;0.00%;0.00%;$0.00;$0.00;0;0
B08K9GD18K;B07GR7RCTV;Replacement US International Backlit Keyboard for Lenovo Thinkpad T460s T470s;6;0.23%;6;0.16%;100.00%;0;0;0.00%;0.00%;$0.00;$0.00;0;0
B08K9GD18K;B07GR8BD34;Replacement Danish Backlit Keyboard for Lenovo Thinkpad T460s T470s;4;0.15%;6;0.16%;100.00%;0;0;0.00%;0.00%;$0.00;$0.00;0;0
B08TVYCFJL;B07GR8DN94;Replacement Hungarian Backlit Keyboard for Lenovo Thinkpad T430 T430i T430s T430si T430U T530 T530i T530S W530 X13X X230 X230i X230it X230T;1;0.04%;1;0.03%;100.00%;0;0;0.00%;0.00%;$0.00;$0.00;0;0
