(Parent) ASIN;(Child) ASIN;Title;Sessions - Total;Session Percentage - Total;Page Views - Total;Page Views Percentage - Total;Featured Offer (Buy Box) Percentage;Units Ordered;Units Ordered - B2B;Unit Session Percentage;Unit Session Percentage - B2B;Ordered Product Sales;Ordered Product Sales - B2B;Total Order Items;Total Order Items - B2B
B08VQFLB7S;B07GR8MX7V;Replacement Polish Backlit Keyboard for Lenovo Thinkpad T470 T480;3;0.11%;3;0.08%;100.00%;0;0;0.00%;0.00%;$0.00;$0.00;0;0
B08K9GD18K;B07GRF4NJ8;Replacement Belgian Backlit Keyboard for Lenovo Thinkpad T460s T470s;3;0.11%;5;0.13%;100.00%;0;0;0.00%;0.00%;$0.00;$0.00;0;0
B08K9GD18K;B07GRFJFQX;Replacement Hungarian Backlit Keyboard for Lenovo Thinkpad T460s T470s;2;0.08%;3;0.08%;100.00%;0;0;0.00%;0.00%;$0.00;$0.00;0;0
B08DP43NRH;B07GSZSJSD;Replacement UK Backlit Keyboard for Lenovo Thinkpad T431 T431S E431 T440 T440P T440S E440 L440 T450 T450S T460 L450 T440E;1;0.04%;1;0.03%;100.00%;0;0;0.00%;0.00%;$0.00;$0.00;0;0
B08DP43NRH;B07GT16YDD;Replacement French Backlit Keyboard for Lenovo Thinkpad T431 T431S E431 T440 T440P T440S E440 L440 T450 T450S T460 L450 T440E;6;0.23%;7;0.19%;100.00%;0;0;0.00%;0.00%;$0.00;$0.00;0;0
B08DP43NRH;B07GT2C6SX;Replacement Scandinavian – Nordic Backlit Keyboard for Lenovo Thinkpad T431 T431S E431 T440 T440P T440S E440 L440 T450 T450S T460 L450 T440E;3;0.11%;3;0.08%;100.00%;0;0;0.00%;0.00%;$0.00;$0.00;0;0
B08TVTLHDB;B07GXQ4TXD;Replacement Hungarian Non-Backlit Keyboard for Lenovo Thinkpad T520 T520i T420S T420 T420i T400S T410S T410 T410I T510 T510i W510 W520 X220T X220s X220i X220;4;0.15%;6;0.16%;100.00%;0;0;0.00%;0.00%;$0.00;$0.00;0;0
B08TVTLHDB;B07GXQPGJV;Replacement UK Non-Backlit Keyboard for Lenovo Thinkpad T520 T520i T420S T420 T420i T400S T410S T410 T410I T510 T510i W510 W520 X220T X220s X220i X220;5;0.19%;5;0.13%;100.00%;0;0;0.00%;0.00%;$0.00;$0.00;0;0
B08TVTLHDB;B07GXR2PLQ;Replacement Bulgarian Non-Backlit Keyboard for Lenovo Thinkpad T520 T520i T420S T420 T420i T400S T410S T410 T410I T510 T510i W510 W520 X220T X220s X220i X220;9;0.34%;9;0.24%;88.89%;0;0;0.00%;0.00%;$0.00;$0.00;0;0
B08TVTLHDB;B07GXR4ZKV;Replacement French Non-Backlit Keyboard for Lenovo Thinkpad T520 T520i T420S T420 T420i T400S T410S T410 T410I T510 T510i W510 W520 X220T X220s X220i X220;5;0.19%;6;0.16%;100.00%;0;0;0.00%;0.00%;$0.00;$0.00;0;0
B08TVTLHDB;B07GXR64W4;Replacement Belgian Non-Backlit Keyboard for Lenovo Thinkpad T520 T520i T420S T420 T420i T400S T410S T410 T410I T510 T510i W510 W520 X220T X220s X220i X220;14;0.53%;15;0.40%;93.33%;0;0;0.00%;0.00%;$0.00;$0.00;0;0
B08TVTLHDB;B07GXR88WJ;Replacement Dutch Non-Backlit Keyboard for Lenovo Thinkpad T520 T520i T420S T420 T420i T400S T410S T410 T410I T510 T510i W510 W520 X220T X220s X220i X220;2;0.08%;2;0.05%;100.00%;0;0;0.00%;0.00%;$0.00;$0.00;0;0
B08TVTLHDB;B07GXR8XC7;Replacement Portuguese Non-Backlit Keyboard for Lenovo Thinkpad T520 T520i T420S T420 T420i T400S T410S T410 T410I T510 T510i W510 W520 X220T X220s X220i X220;2;0.08%;2;0.05%;100.00%;0;0;0.00%;0.00%;$0.00;$0.00;0;0
B08TVTLHDB;B07GXR9XZK;Replacement Danish Non-Backlit Keyboard for Lenovo Thinkpad T520 T520i T420S T420 T420i T400S T410S T410 T410I T510 T510i W510 W520 X220T X220s X220i X220;5;0.19%;7;0.19%;100.00%;0;0;0.00%;0.00%;$0.00;$0.00;0;0
B08TVTLHDB;B07GXRBBVT;Replacement Italian Non-Backlit Keyboard for Lenovo Thinkpad T520 T520i T420S T420 T420i T400S T410S T410 T410I T510 T510i W510 W520 X220T X220s X220i X220;2;0.08%;2;0.05%;100.00%;0;0;0.00%;0.00%;$0.00;$0.00;0;0
B08TVTLHDB;B07GXRP7VW;Replacement German Non-Backlit Keyboard for Lenovo Thinkpad T520 T520i T420S T420 T420i T400S T410S T410 T410I T510 T510i W510 W520 X220T X220s X220i X220;5;0.19%;6;0.16%;100.00%;0;0;0.00%;0.00%;$0.00;$0.00;0;0
B08TVTLHDB;B07GXRQGH1;Replacement Polish Non-Backlit Keyboard for Lenovo Thinkpad T520 T520i T420S T420 T420i T400S T410S T410 T410I T510 T510i W510 W520 X220T X220s X220i X220;3;0.11%;3;0.08%;100.00%;0;0;0.00%;0.00%;$0.00;$0.00;0;0
B08TVTLHDB;B07GXRX85S;Replacement Swedish – Finnish Non-Backlit Keyboard for Lenovo Thinkpad T520 T520i T420S T420 T420i T400S T410S T410 T410I T510 T510i W510 W520 X220T X220s X220i X220;10;0.38%;15;0.40%;100.00%;0;0;0.00%;0.00%;$0.00;$0.00;0;0
B08TVTLHDB;B07GXRYBFT;Replacement Scandinavian – Nordic Non-Backlit Keyboard for Lenovo Thinkpad T520 T520i T420S T420 T420i T400S T410S T410 T410I T510 T510i W510 W520 X220T X220s X220i X220;7;0.27%;8;0.21%;100.00%;0;0;0.00%;0.00%;$0.00;$0.00;0;0
B08TVTLHDB;B07GXS128N;Replacement Norwegian Non-Backlit Keyboard for Lenovo Thinkpad T520 T520i T420S T420 T420i T400S T410S T410 T410I T510 T510i W510 W520 X220T X220s X220i X220;3;0.11%;4;0.11%;100.00%;0;0;0.00%;0.00%;$0.00;$0.00;0;0
B08TVTLHDB;B07GXS6FHX;Replacement Swiss Non-Backlit Keyboard for Lenovo Thinkpad T520 T520i T420S T420 T420i T400S T410S T410 T410I T510 T510i W510 W520 X220T X220s X220i X220;4;0.15%;4;0.11%;100.00%;0;0;0.00%;0.00%;$0.00;$0.00;0;0
B08TVTLHDB;B07GXSJ1W6;Replacement Czech Non-Backlit Keyboard for Lenovo Thinkpad T520 T520i T420S T420 T420i T400S T410S T410 T410I T510 T510i W510 W520 X220T X220s X220i X220;3;0.11%;3;0.08%;100.00%;0;0;0.00%;0.00%;$0.00;$0.00;0;0
B08TVTLHDB;B07GXSKRLP;Replacement US International Non-Backlit Keyboard for Lenovo Thinkpad T520 T520i T420S T420 T420i T400S T410S T410 T410I T510 T510i W510 W520 X220T X220s X220i X220;9;0.34%;9;0.24%;88.89%;0;0;0.00%;0.00%;$0.00;$0.00;0;0
B08TVTLHDB;B07GXSP6K1;Replacement Russian Non-Backlit Keyboard for Lenovo Thinkpad T520 T520i T420S T420 T420i T400S T410S T410 T410I T510 T510i W510 W520 X220T X220s X220i X220;9;0.34%;9;0.24%;100.00%;0;0;0.00%;0.00%;$0.00;$0.00;0;0
B0B44MWR29;B07J9K8XR2;New Replacement French Backlit Keyboard for HP ZBOOK 15 G1 G2 ZBOOK 17 G1 G2;1;0.04%;1;0.03%;100.00%;0;0;0.00%;0.00%;$0.00;$0.00;0;0
B08DRRL8RD;B07JX4WZKG;Replacement Russian Backlit Keyboard for Lenovo Thinkpad E531 T540 T540P T550 L540 W540 W550S W550 W541;4;0.15%;5;0.13%;100.00%;0;0;0.00%;0.00%;$0.00;$0.00;0;0
B08N5M3SD2;B07PDNR89L;Replacement UK Non-Backlit Keyboard for Lenovo Thinkpad E470 E470c E475;2;0.08%;5;0.13%;100.00%;0;0;0.00%;0.00%;$0.00;$0.00;0;0
B08VNCLPSN;B07PHGB3GH;Replacement Spanish Non-Backlit Keyboard for Lenovo Thinkpad E570 E575 E570C;1;0.04%;1;0.03%;100.00%;0;0;0.00%;0.00%;$0.00;$0.00;0;0
B08VYRFN2S;B07PHGDXG5;Replacement Italian Backlit Keyboard for Lenovo Thinkpad P50 P70;2;0.08%;2;0.05%;100.00%;0;0;0.00%;0.00%;$0.00;$0.00;0;0
B08N5M3SD2;B07PHVTP39;Replacement French Non-Backlit Keyboard for Lenovo Thinkpad E470 E470c E475;1;0.04%;1;0.03%;100.00%;0;0;0.00%;0.00%;$0.00;$0.00;0;0
B08VYRFN2S;B07PJKXW5Z;Replacement UK Backlit Keyboard for Lenovo Thinkpad P50 P70;3;0.11%;4;0.11%;100.00%;0;0;0.00%;0.00%;$0.00;$0.00;0;0
B08VNCLPSN;B07PLDVLDD;Replacement French Non-Backlit Keyboard for Lenovo Thinkpad E570 E575 E570C;2;0.08%;4;0.11%;100.00%;0;0;0.00%;0.00%;$0.00;$0.00;0;0
B08VYRFN2S;B07PLHR9TC;Replacement Spanish Backlit Keyboard for Lenovo Thinkpad P50 P70;17;0.65%;19;0.51%;94.74%;0;0;0.00%;0.00%;$0.00;$0.00;0;0
B08VNCLPSN;B07PLLCNCD;Replacement UK Non-Backlit Keyboard for Lenovo Thinkpad E570 E575 E570C;1;0.04%;1;0.03%;100.00%;0;0;0.00%;0.00%;$0.00;$0.00;0;0
B08WLGBYM1;B07YJ5SQTS;Replacement German Backlit Keyboard for HP 840 G1, 845 G1, 850 G1, 840 G2, 845 G2, 850 G2;2;0.08%;2;0.05%;100.00%;0;0;0.00%;0.00%;$0.00;$0.00;0;0
B08VHQ6M2N;B08CD38C6J;Replacement US Backlit Keyboard for Lenovo Edge L580 E580 P52 P72 T590 T580s;8;0.30%;13;0.35%;100.00%;0;0;0.00%;0.00%;$0.00;$0.00;0;0
B08DRRL8RD;B08CHD6PN2;Replacement US International Non-Backlit Keyboard for Lenovo Thinkpad E531 T540 T540P T550 L540 W540 W550S W550 W541;1;0.04%;1;0.03%;100.00%;0;0;0.00%;0.00%;$0.00;$0.00;0;0
B08DP43NRH;B08DP1X1BN;Replacement Dutch Non-Backlit Keyboard for Lenovo Thinkpad T431 T431S E431 T440 T440P T440S E440 L440 T450 T450S T460 L450 T440E;2;0.08%;2;0.05%;100.00%;0;0;0.00%;0.00%;$0.00;$0.00;0;0
B08DP43NRH;B08DP2HLWQ;Replacement US International Non-Backlit Keyboard for Lenovo Thinkpad T431 T431S E431 T440 T440P T440S E440 L440 T450 T450S T460 L450 T440E;15;0.57%;17;0.46%;100.00%;0;0;0.00%;0.00%;$0.00;$0.00;0;0
B08DP43NRH;B08DP2KJ68;Replacement Scandinavian – Nordic Non-Backlit Keyboard for Lenovo Thinkpad T431 T431S E431 T440 T440P T440S E440 L440 T450 T450S T460 L450 T440E;1;0.04%;1;0.03%;0.00%;0;0;0.00%;0.00%;$0.00;$0.00;0;0
B08DP43NRH;B08DP2M6CB;Replacement German Non-Backlit Keyboard for Lenovo Thinkpad T431 T431S E431 T440 T440P T440S E440 L440 T450 T450S T460 L450 T440E;1;0.04%;1;0.03%;100.00%;0;0;0.00%;0.00%;$0.00;$0.00;0;0
B08DP43NRH;B08DP2RXH8;Replacement Russian Non-Backlit Keyboard for Lenovo Thinkpad T431 T431S E431 T440 T440P T440S E440 L440 T450 T450S T460 L450 T440E;2;0.08%;2;0.05%;50.00%;0;0;0.00%;0.00%;$0.00;$0.00;0;0
B08DP43NRH;B08DP3G8GM;Replacement Bulgarian Non-Backlit Keyboard for Lenovo Thinkpad T431 T431S E431 T440 T440P T440S E440 L440 T450 T450S T460 L450 T440E;1;0.04%;1;0.03%;100.00%;0;0;0.00%;0.00%;$0.00;$0.00;0;0
B08DP43NRH;B08DP3MCBS;Replacement Belgian Non-Backlit Keyboard for Lenovo Thinkpad T431 T431S E431 T440 T440P T440S E440 L440 T450 T450S T460 L450 T440E;8;0.30%;9;0.24%;77.78%;0;0;0.00%;0.00%;$0.00;$0.00;0;0
B08DP43NRH;B08DP49GCW;Replacement French Non-Backlit Keyboard for Lenovo Thinkpad T431 T431S E431 T440 T440P T440S E440 L440 T450 T450S T460 L450 T440E;12;0.46%;22;0.59%;100.00%;0;0;0.00%;0.00%;$0.00;$0.00;0;0
B08DP43NRH;B08DP4GY8G;Replacement Portuguese Non-Backlit Keyboard for Lenovo Thinkpad T431 T431S E431 T440 T440P T440S E440 L440 T450 T450S T460 L450 T440E;1;0.04%;1;0.03%;100.00%;0;0;0.00%;0.00%;$0.00;$0.00;0;0
B08DP43NRH;B08DP4QNPV;Replacement Hungarian Non-Backlit Keyboard for Lenovo Thinkpad T431 T431S E431 T440 T440P T440S E440 L440 T450 T450S T460 L450 T440E;1;0.04%;1;0.03%;100.00%;0;0;0.00%;0.00%;$0.00;$0.00;0;0
B08DP43NRH;B08DP4SXWP;Replacement Spanish Non-Backlit Keyboard for Lenovo Thinkpad T431 T431S E431 T440 T440P T440S E440 L440 T450 T450S T460 L450 T440E;9;0.34%;16;0.43%;87.50%;0;0;0.00%;0.00%;$0.00;$0.00;0;0
B08DRRL8RD;B08DRQ4HMZ;Replacement Portuguese Non-Backlit Keyboard for Lenovo Thinkpad E531 T540 T540P T550 L540 W540 W550S W550 W541;1;0.04%;1;0.03%;100.00%;0;0;0.00%;0.00%;$0.00;$0.00;0;0
B08DRRL8RD;B08DRQ7Q3S;Replacement UK Non-Backlit Keyboard for Lenovo Thinkpad E531 T540 T540P T550 L540 W540 W550S W550 W541;1;0.04%;1;0.03%;100.00%;0;0;0.00%;0.00%;$0.00;$0.00;0;0
B08DRRL8RD;B08DRQGDZW;Replacement Russian Non-Backlit Keyboard for Lenovo Thinkpad E531 T540 T540P T550 L540 W540 W550S W550 W541;2;0.08%;2;0.05%;100.00%;0;0;0.00%;0.00%;$0.00;$0.00;0;0
B08DRRL8RD;B08DRQGRDH;Replacement Swedish – Finnish Non-Backlit Keyboard for Lenovo Thinkpad E531 T540 T540P T550 L540 W540 W550S W550 W541;1;0.04%;1;0.03%;100.00%;0;0;0.00%;0.00%;$0.00;$0.00;0;0
B08DRRL8RD;B08DRQJVLN;Replacement Dutch Non-Backlit Keyboard for Lenovo Thinkpad E531 T540 T540P T550 L540 W540 W550S W550 W541;1;0.04%;1;0.03%;100.00%;0;0;0.00%;0.00%;$0.00;$0.00;0;0
B08DRRL8RD;B08DRQK9S7;Replacement Danish Non-Backlit Keyboard for Lenovo Thinkpad E531 T540 T540P T550 L540 W540 W550S W550 W541;1;0.04%;1;0.03%;100.00%;0;0;0.00%;0.00%;$0.00;$0.00;0;0
B08DRRL8RD;B08DRQS5XR;Replacement Scandinavian – Nordic Non-Backlit Keyboard for Lenovo Thinkpad E531 T540 T540P T550 L540 W540 W550S W550 W541;1;0.04%;1;0.03%;100.00%;0;0;0.00%;0.00%;$0.00;$0.00;0;0
B08DRRL8RD;B08DRQWGY7;Replacement Czech Non-Backlit Keyboard for Lenovo Thinkpad E531 T540 T540P T550 L540 W540 W550S W550 W541;1;0.04%;1;0.03%;100.00%;0;0;0.00%;0.00%;$0.00;$0.00;0;0
B08DRRL8RD;B08DRR51Z6;Replacement Hungarian Non-Backlit Keyboard for Lenovo Thinkpad E531 T540 T540P T550 L540 W540 W550S W550 W541;3;0.11%;4;0.11%;100.00%;0;0;0.00%;0.00%;$0.00;$0.00;0;0
B08DRRL8RD;B08DRRM1DX;Replacement Spanish Non-Backlit Keyboard for Lenovo Thinkpad E531 T540 T540P T550 L540 W540 W550S W550 W541;2;0.08%;2;0.05%;100.00%;0;0;0.00%;0.00%;$0.00;$0.00;0;0
B08DRRL8RD;B08DRS3W25;Replacement Bulgarian Non-Backlit Keyboard for Lenovo Thinkpad E531 T540 T540P T550 L540 W540 W550S W550 W541;3;0.11%;4;0.11%;100.00%;0;0;0.00%;0.00%;$0.00;$0.00;0;0
B08DRRL8RD;B08DRSF5N8;Replacement Belgian Non-Backlit Keyboard for Lenovo Thinkpad E531 T540 T540P T550 L540 W540 W550S W550 W541;2;0.08%;3;0.08%;100.00%;0;0;0.00%;0.00%;$0.00;$0.00;0;0
B08DRRL8RD;B08DRT4H53;Replacement French Non-Backlit Keyboard for Lenovo Thinkpad E531 T540 T540P T550 L540 W540 W550S W550 W541;1;0.04%;1;0.03%;100.00%;0;0;0.00%;0.00%;$0.00;$0.00;0;0
B08DRRL8RD;B08DRTMBTX;Replacement Swiss Non-Backlit Keyboard for Lenovo Thinkpad E531 T540 T540P T550 L540 W540 W550S W550 W541;1;0.04%;1;0.03%;100.00%;0;0;0.00%;0.00%;$0.00;$0.00;0;0
B08DP43NRH;B08F4LS9VC;Replacement Czech Non-Backlit Keyboard for Lenovo Thinkpad T431 T431S E431 T440 T440P T440S E440 L440 T450 T450S T460 L450 T440E;1;0.04%;1;0.03%;100.00%;0;0;0.00%;0.00%;$0.00;$0.00;0;0
B08K9GD18K;B08GL2B9MQ;Replacement Scandinavian – Nordic Non-Backlit Keyboard for Lenovo Thinkpad T460s T470s;2;0.08%;2;0.05%;100.00%;0;0;0.00%;0.00%;$0.00;$0.00;0;0
B08K9GD18K;B08GL2YPCQ;Replacement Portuguese Non-Backlit Keyboard for Lenovo Thinkpad T460s T470s;1;0.04%;1;0.03%;100.00%;0;0;0.00%;0.00%;$0.00;$0.00;0;0
B08K9GD18K;B08GL3VM6H;Replacement Danish Non-Backlit Keyboard for Lenovo Thinkpad T460s T470s;1;0.04%;2;0.05%;100.00%;0;0;0.00%;0.00%;$0.00;$0.00;0;0
B08K9GD18K;B08GL4KK1Y;Replacement US International Non-Backlit Keyboard for Lenovo Thinkpad T460s T470s;3;0.11%;6;0.16%;100.00%;0;0;0.00%;0.00%;$0.00;$0.00;0;0
B08K9GD18K;B08GL4Q42C;Replacement Belgian Non-Backlit Keyboard for Lenovo Thinkpad T460s T470s;1;0.04%;2;0.05%;100.00%;0;0;0.00%;0.00%;$0.00;$0.00;0;0
B08K9GD18K;B08GL52R5P;Replacement Norwegian Non-Backlit Keyboard for Lenovo Thinkpad T460s T470s;1;0.04%;1;0.03%;100.00%;0;0;0.00%;0.00%;$0.00;$0.00;0;0
B08K9GD18K;B08GL52V6T;Replacement Spanish Non-Backlit Keyboard for Lenovo Thinkpad T460s T470s;2;0.08%;2;0.05%;100.00%;0;0;0.00%;0.00%;$0.00;$0.00;0;0
B08K9GD18K;B08GL5CGYD;Replacement Swedish – Finnish Non-Backlit Keyboard for Lenovo Thinkpad T460s T470s;1;0.04%;1;0.03%;100.00%;0;0;0.00%;0.00%;$0.00;$0.00;0;0
B08TVTKDDH;B08H2968HB;Replacement Spanish Non-Backlit Keyboard for Lenovo Thinkpad X230s X240 X240S X240I X250 X260 X270;1;0.04%;1;0.03%;0.00%;0;0;0.00%;0.00%;$0.00;$0.00;0;0
B08TVTKDDH;B08H2B4P1Z;Replacement Czech Non-Backlit Keyboard for Lenovo Thinkpad X230s X240 X240S X240I X250 X260 X270;1;0.04%;1;0.03%;100.00%;0;0;0.00%;0.00%;$0.00;$0.00;0;0
B08TVTKDDH;B08H2B74WC;Replacement Bulgarian Non-Backlit Keyboard for Lenovo Thinkpad X230s X240 X240S X240I X250 X260 X270;1;0.04%;1;0.03%;100.00%;0;0;0.00%;0.00%;$0.00;$0.00;0;0
B08TVTKDDH;B08H2BHNCR;Replacement UK Non-Backlit Keyboard for Lenovo Thinkpad X230s X240 X240S X240I X250 X260 X270;3;0.11%;3;0.08%;100.00%;0;0;0.00%;0.00%;$0.00;$0.00;0;0
B08TVTKDDH;B08H2BN6SF;Replacement Norwegian Non-Backlit Keyboard for Lenovo Thinkpad X230s X240 X240S X240I X250 X260 X270;2;0.08%;2;0.05%;100.00%;0;0;0.00%;0.00%;$0.00;$0.00;0;0
B08TVTKDDH;B08H2BXJ66;Replacement Polish Non-Backlit Keyboard for Lenovo Thinkpad X230s X240 X240S X240I X250 X260 X270;1;0.04%;1;0.03%;100.00%;0;0;0.00%;0.00%;$0.00;$0.00;0;0
B08TVTKDDH;B08H2C95RY;Replacement Belgian Non-Backlit Keyboard for Lenovo Thinkpad X230s X240 X240S X240I X250 X260 X270;1;0.04%;1;0.03%;100.00%;0;0;0.00%;0.00%;$0.00;$0.00;0;0
B08TVTKDDH;B08H2CNRHZ;Replacement French Non-Backlit Keyboard for Lenovo Thinkpad X230s X240 X240S X240I X250 X260 X270;1;0.04%;1;0.03%;100.00%;0;0;0.00%;0.00%;$0.00;$0.00;0;0
B08TVTKDDH;B08H2CY4MP;Replacement German Non-Backlit Keyboard for Lenovo Thinkpad X230s X240 X240S X240I X250 X260 X270;1;0.04%;1;0.03%;0.00%;0;0;0.00%;0.00%;$0.00;$0.00;0;0
B08TVTKDDH;B08H2CY9DG;Replacement Danish Non-Backlit Keyboard for Lenovo Thinkpad X230s X240 X240S X240I X250 X260 X270;1;0.04%;1;0.03%;100.00%;0;0;0.00%;0.00%;$0.00;$0.00;0;0
B08TVTKDDH;B08H2D2PXW;Replacement Scandinavian – Nordic Non-Backlit Keyboard for Lenovo Thinkpad X230s X240 X240S X240I X250 X260 X270;1;0.04%;1;0.03%;100.00%;0;0;0.00%;0.00%;$0.00;$0.00;0;0
B08TVTKDDH;B08H6P6FBJ;Replacement Swedish – Finnish Non-Backlit Keyboard for Lenovo Thinkpad X230s X240 X240S X240I X250 X260 X270;1;0.04%;1;0.03%;100.00%;0;0;0.00%;0.00%;$0.00;$0.00;0;0
B08TVTKDDH;B08H6QVKTW;Replacement Swiss Non-Backlit Keyboard for Lenovo Thinkpad X230s X240 X240S X240I X250 X260 X270;1;0.04%;1;0.03%;100.00%;0;0;0.00%;0.00%;$0.00;$0.00;0;0
B08TVTKDDH;B08H6VHHZM;Replacement Portuguese Non-Backlit Keyboard for Lenovo Thinkpad X230s X240 X240S X240I X250 X260 X270;5;0.19%;13;0.35%;100.00%;0;0;0.00%;0.00%;$0.00;$0.00;0;0
B08TVTKDDH;B08H6WJQGY;Replacement US International Non-Backlit Keyboard for Lenovo Thinkpad X230s X240 X240S X240I X250 X260 X270;6;0.23%;6;0.16%;100.00%;0;0;0.00%;0.00%;$0.00;$0.00;0;0
B08T67QRC6;B08K9BT6KG;Replacement Bulgarian Non-Backlit Keyboard for Lenovo Thinkpad E550 E560 E560c;1;0.04%;1;0.03%;0.00%;0;0;0.00%;0.00%;$0.00;$0.00;0;0
B08T67QRC6;B08K9BWMH9;Replacement Swedish – Finnish Non-Backlit Keyboard for Lenovo Thinkpad E550 E560 E560c;1;0.04%;1;0.03%;100.00%;0;0;0.00%;0.00%;$0.00;$0.00;0;0
B08T67QRC6;B08K9C3BHD;Replacement German Non-Backlit Keyboard for Lenovo Thinkpad E550 E560 E560c;1;0.04%;1;0.03%;100.00%;0;0;0.00%;0.00%;$0.00;$0.00;0;0
B08T67QRC6;B08K9C6YPY;Replacement French Non-Backlit Keyboard for Lenovo Thinkpad E550 E560 E560c;4;0.15%;4;0.11%;100.00%;0;0;0.00%;0.00%;$0.00;$0.00;0;0
