(Parent) ASIN;(Child) ASIN;Title;Sessions - Total;Session Percentage - Total;Page Views - Total;Page Views Percentage - Total;Featured Offer (Buy Box) Percentage;Units Ordered;Units Ordered - B2B;Unit Session Percentage;Unit Session Percentage - B2B;Ordered Product Sales;Ordered Product Sales - B2B;Total Order Items;Total Order Items - B2B
B08T67QRC6;B08K9C7ZQX;Replacement US International Non-Backlit Keyboard for Lenovo Thinkpad E550 E560 E560c;1;0.04%;1;0.03%;100.00%;0;0;0.00%;0.00%;$0.00;$0.00;0;0
B08T67QRC6;B08K9C85VN;Replacement UK Non-Backlit Keyboard for Lenovo Thinkpad E550 E560 E560c;2;0.08%;3;0.08%;100.00%;0;0;0.00%;0.00%;$0.00;$0.00;0;0
B08T67QRC6;B08K9DB1VL;Replacement Dutch Non-Backlit Keyboard for Lenovo Thinkpad E550 E560 E560c;1;0.04%;2;0.05%;100.00%;0;0;0.00%;0.00%;$0.00;$0.00;0;0
B08T67QRC6;B08K9DY94T;Replacement Belgian Non-Backlit Keyboard for Lenovo Thinkpad E550 E560 E560c;1;0.04%;1;0.03%;0.00%;0;0;0.00%;0.00%;$0.00;$0.00;0;0
B08T67QRC6;B08K9GHHQK;Replacement Scandinavian – Nordic Non-Backlit Keyboard for Lenovo Thinkpad E550 E560 E560c;3;0.11%;9;0.24%;100.00%;0;0;0.00%;0.00%;$0.00;$0.00;0;0
B08T67QRC6;B08KB2XV1P;Replacement Spanish Non-Backlit Keyboard for Lenovo Thinkpad E550 E560 E560c;5;0.19%;6;0.16%;83.33%;0;0;0.00%;0.00%;$0.00;$0.00;0;0
B08T67QRC6;B08KBDQDLM;Replacement US Non-Backlit Keyboard for Lenovo Thinkpad E550 E560 E560c;9;0.34%;11;0.29%;100.00%;0;0;0.00%;0.00%;$0.00;$0.00;0;0
B08LHNGSC5;B08LHJG3ZT;TellusRem Replacement French Backlit Keyboard for Lenovo Thinkpad T570 T580 P51s P52s;1;0.04%;3;0.08%;100.00%;0;0;0.00%;0.00%;$0.00;$0.00;0;0
B08LHNGSC5;B08LHL4NVJ;TellusRem Replacement Scandinavian – Nordic Non-Backlit Keyboard for Lenovo Thinkpad T570 T580 P51s P52s;1;0.04%;1;0.03%;100.00%;0;0;0.00%;0.00%;$0.00;$0.00;0;0
B08LHNGSC5;B08LHMMSGP;TellusRem Replacement Scandinavian – Nordic Backlit Keyboard for Lenovo Thinkpad T570 T580 P51s P52s;2;0.08%;2;0.05%;100.00%;0;0;0.00%;0.00%;$0.00;$0.00;0;0
B08LHNGSC5;B08LHNRW3Y;TellusRem Replacement Italian Backlit Keyboard for Lenovo Thinkpad T570 T580 P51s P52s;1;0.04%;1;0.03%;100.00%;0;0;0.00%;0.00%;$0.00;$0.00;0;0
B08LHNGSC5;B08LJ9NNST;TellusRem Replacement Bulgarian Backlit Keyboard for Lenovo Thinkpad T570 T580 P51s P52s;2;0.08%;2;0.05%;100.00%;0;0;0.00%;0.00%;$0.00;$0.00;0;0
B08LHNGSC5;B08LJJVZMS;TellusRem Replacement Spanish Non-Backlit Keyboard for Lenovo Thinkpad T570 T580 P51s P52s;1;0.04%;1;0.03%;100.00%;0;0;0.00%;0.00%;$0.00;$0.00;0;0
B08LHNGSC5;B08LK1KPX6;TellusRem Replacement Italian Non-Backlit Keyboard for Lenovo Thinkpad T570 T580 P51s P52s;1;0.04%;1;0.03%;100.00%;0;0;0.00%;0.00%;$0.00;$0.00;0;0
B08LHNGSC5;B08LK25KKW;TellusRem Replacement Russian Non-Backlit Keyboard for Lenovo Thinkpad T570 T580 P51s P52s;1;0.04%;3;0.08%;100.00%;0;0;0.00%;0.00%;$0.00;$0.00;0;0
B08LHNGSC5;B08LK3FBKW;TellusRem Replacement Swedish – Finnish Backlit Keyboard for Lenovo Thinkpad T570 T580 P51s P52s;3;0.11%;3;0.08%;100.00%;0;0;0.00%;0.00%;$0.00;$0.00;0;0
B08LHNGSC5;B08LK4C5B6;TellusRem Replacement Spanish Backlit Keyboard for Lenovo Thinkpad T570 T580 P51s P52s;1;0.04%;2;0.05%;100.00%;0;0;0.00%;0.00%;$0.00;$0.00;0;0
B08LHNGSC5;B08LK735XR;TellusRem Replacement Belgian Non-Backlit Keyboard for Lenovo Thinkpad T570 T580 P51s P52s;4;0.15%;4;0.11%;100.00%;0;0;0.00%;0.00%;$0.00;$0.00;0;0
B08LHNGSC5;B08LK9MCWJ;TellusRem Replacement German Non-Backlit Keyboard for Lenovo Thinkpad T570 T580 P51s P52s;1;0.04%;1;0.03%;100.00%;0;0;0.00%;0.00%;$0.00;$0.00;0;0
B08TVYCFJL;B08LTS43W5;Replacement Dutch Non-Backlit Keyboard for Lenovo Thinkpad T430 T430i T430s T430si T430U T530 T530i T530S W530 X13X X230 X230i X230it X230T;3;0.11%;3;0.08%;100.00%;0;0;0.00%;0.00%;$0.00;$0.00;0;0
B08TVYCFJL;B08LTS6JHD;Replacement Hungarian Non-Backlit Keyboard for Lenovo Thinkpad T430 T430i T430s T430si T430U T530 T530i T530S W530 X13X X230 X230i X230it X230T;2;0.08%;2;0.05%;100.00%;0;0;0.00%;0.00%;$0.00;$0.00;0;0
B08TVYCFJL;B08LTSMJNH;Replacement Swiss Non-Backlit Keyboard for Lenovo Thinkpad T430 T430i T430s T430si T430U T530 T530i T530S W530 X13X X230 X230i X230it X230T;2;0.08%;2;0.05%;100.00%;0;0;0.00%;0.00%;$0.00;$0.00;0;0
B08TVYCFJL;B08LTSMKCT;Replacement Swedish – Finnish Non-Backlit Keyboard for Lenovo Thinkpad T430 T430i T430s T430si T430U T530 T530i T530S W530 X13X X230 X230i X230it X230T;2;0.08%;2;0.05%;100.00%;0;0;0.00%;0.00%;$0.00;$0.00;0;0
B08TVYCFJL;B08LTSNJTB;Replacement Belgian Non-Backlit Keyboard for Lenovo Thinkpad T430 T430i T430s T430si T430U T530 T530i T530S W530 X13X X230 X230i X230it X230T;8;0.30%;9;0.24%;77.78%;0;0;0.00%;0.00%;$0.00;$0.00;0;0
B08TVYCFJL;B08LTSRYKB;Replacement German Non-Backlit Keyboard for Lenovo Thinkpad T430 T430i T430s T430si T430U T530 T530i T530S W530 X13X X230 X230i X230it X230T;1;0.04%;1;0.03%;100.00%;0;0;0.00%;0.00%;$0.00;$0.00;0;0
B08TVYCFJL;B08LTT6LF6;Replacement French Non-Backlit Keyboard for Lenovo Thinkpad T430 T430i T430s T430si T430U T530 T530i T530S W530 X13X X230 X230i X230it X230T;1;0.04%;1;0.03%;100.00%;0;0;0.00%;0.00%;$0.00;$0.00;0;0
B08TVYCFJL;B08LTTCJLH;Replacement Portuguese Non-Backlit Keyboard for Lenovo Thinkpad T430 T430i T430s T430si T430U T530 T530i T530S W530 X13X X230 X230i X230it X230T;4;0.15%;5;0.13%;60.00%;0;0;0.00%;0.00%;$0.00;$0.00;0;0
B08TVYCFJL;B08LTTH6V7;Replacement Scandinavian – Nordic Non-Backlit Keyboard for Lenovo Thinkpad T430 T430i T430s T430si T430U T530 T530i T530S W530 X13X X230 X230i X230it X230T;1;0.04%;1;0.03%;100.00%;0;0;0.00%;0.00%;$0.00;$0.00;0;0
B08TVYCFJL;B08LTTK4GX;Replacement Spanish Non-Backlit Keyboard for Lenovo Thinkpad T430 T430i T430s T430si T430U T530 T530i T530S W530 X13X X230 X230i X230it X230T;3;0.11%;3;0.08%;100.00%;0;0;0.00%;0.00%;$0.00;$0.00;0;0
B08TVYCFJL;B08LTTKWFV;Replacement UK Non-Backlit Keyboard for Lenovo Thinkpad T430 T430i T430s T430si T430U T530 T530i T530S W530 X13X X230 X230i X230it X230T;2;0.08%;2;0.05%;100.00%;0;0;0.00%;0.00%;$0.00;$0.00;0;0
B08TVYCFJL;B08LTTTJQD;Replacement Russian Non-Backlit Keyboard for Lenovo Thinkpad T430 T430i T430s T430si T430U T530 T530i T530S W530 X13X X230 X230i X230it X230T;1;0.04%;1;0.03%;100.00%;0;0;0.00%;0.00%;$0.00;$0.00;0;0
B08LTTZTHJ;B08LTTZTHJ;Replacement US Non-Backlit Keyboard for Lenovo Thinkpad T430 T430i T430s T430si T430U T530 T530i T530S W530 X13X X230 X230i X230it X230T;1;0.04%;1;0.03%;100.00%;0;0;0.00%;0.00%;$0.00;$0.00;0;0
B08VKQJ9PJ;B08RGL4FGK;Replacement Russian Backlit Keyboard for Lenovo Thinkpad X280 X390 X395;1;0.04%;1;0.03%;100.00%;0;0;0.00%;0.00%;$0.00;$0.00;0;0
B08VKQJ9PJ;B08RGMKB9R;Replacement Spanish Non-Backlit Keyboard for Lenovo Thinkpad X280 X390 X395;3;0.11%;6;0.16%;100.00%;0;0;0.00%;0.00%;$0.00;$0.00;0;0
B08VKQJ9PJ;B08RGNT7QG;Replacement US International Backlit Keyboard for Lenovo Thinkpad X280 X390 X395;1;0.04%;1;0.03%;100.00%;0;0;0.00%;0.00%;$0.00;$0.00;0;0
B08VKQJ9PJ;B08RGQPSGL;Replacement Spanish Backlit Keyboard for Lenovo Thinkpad X280 X390 X395;4;0.15%;7;0.19%;100.00%;0;0;0.00%;0.00%;$0.00;$0.00;0;0
B08VKQJ9PJ;B08RGQVT3J;Replacement Hungarian Backlit Keyboard for Lenovo Thinkpad X280 X390 X395;2;0.08%;2;0.05%;100.00%;0;0;0.00%;0.00%;$0.00;$0.00;0;0
B08VKQJ9PJ;B08RGR2TMF;Replacement US Backlit Keyboard for Lenovo Thinkpad X280 X390 X395;5;0.19%;5;0.13%;100.00%;0;0;0.00%;0.00%;$0.00;$0.00;0;0
B08VKQJ9PJ;B08RGSFCGP;Replacement Portuguese Non-Backlit Keyboard for Lenovo Thinkpad X280 X390 X395;2;0.08%;2;0.05%;100.00%;0;0;0.00%;0.00%;$0.00;$0.00;0;0
B08VKQJ9PJ;B08RGVGT5V;Replacement Belgian Non-Backlit Keyboard for Lenovo Thinkpad X280 X390 X395;2;0.08%;2;0.05%;100.00%;0;0;0.00%;0.00%;$0.00;$0.00;0;0
B08VKQJ9PJ;B08RGVWJFX;Replacement Danish Backlit Keyboard for Lenovo Thinkpad X280 X390 X395;2;0.08%;3;0.08%;100.00%;0;0;0.00%;0.00%;$0.00;$0.00;0;0
B08VKQJ9PJ;B08RGX3JT2;Replacement German Backlit Keyboard for Lenovo Thinkpad X280 X390 X395;1;0.04%;1;0.03%;100.00%;0;0;0.00%;0.00%;$0.00;$0.00;0;0
B08VKQJ9PJ;B08RH9W9JX;Replacement US International Non-Backlit Keyboard for Lenovo Thinkpad X280 X390 X395;3;0.11%;3;0.08%;100.00%;0;0;0.00%;0.00%;$0.00;$0.00;0;0
B08VKQJ9PJ;B08RHCCP6F;Replacement UK Non-Backlit Keyboard for Lenovo Thinkpad X280 X390 X395;2;0.08%;2;0.05%;100.00%;0;0;0.00%;0.00%;$0.00;$0.00;0;0
B08VKQJ9PJ;B08RHHV7NB;Replacement Portuguese Backlit Keyboard for Lenovo Thinkpad X280 X390 X395;3;0.11%;5;0.13%;100.00%;0;0;0.00%;0.00%;$0.00;$0.00;0;0
B08DP43NRH;B08TVR143D;Replacement German Backlit Keyboard for Lenovo Thinkpad T431 T431S E431 T440 T440P T440S E440 L440 T450 T450S T460 L450 T440E;1;0.04%;1;0.03%;0.00%;0;0;0.00%;0.00%;$0.00;$0.00;0;0
B08TVYCFJL;B08TVXK496;Replacement UK Backlit Keyboard for Lenovo Thinkpad T430 T430i T430s T430si T430U T530 T530i T530S W530 X13X X230 X230i X230it X230T;4;0.15%;6;0.16%;100.00%;0;0;0.00%;0.00%;$0.00;$0.00;0;0
B08DRRL8RD;B08TW14P74;Replacement French Backlit Keyboard for Lenovo Thinkpad E531 T540 T540P T550 L540 W540 W550S W550 W541;1;0.04%;1;0.03%;100.00%;0;0;0.00%;0.00%;$0.00;$0.00;0;0
B08VHFV3YR;B08VCTYM7P;Replacement US International Non-Backlit Keyboard for Lenovo Thinkpad T470s;14;0.53%;16;0.43%;100.00%;0;0;0.00%;0.00%;$0.00;$0.00;0;0
B08VHFV3YR;B08VD4HFZJ;Replacement UK Backlit Keyboard for Lenovo Thinkpad T470s;1;0.04%;1;0.03%;100.00%;0;0;0.00%;0.00%;$0.00;$0.00;0;0
B08VHFV3YR;B08VD9G5HM;Replacement Spanish Non-Backlit Keyboard for Lenovo Thinkpad T470s;3;0.11%;4;0.11%;100.00%;0;0;0.00%;0.00%;$0.00;$0.00;0;0
B08VHFV3YR;B08VDSY9LK;Replacement French Non-Backlit Keyboard for Lenovo Thinkpad T470s;1;0.04%;1;0.03%;100.00%;0;0;0.00%;0.00%;$0.00;$0.00;0;0
B08VQFLB7S;B08VHGPDKP;Replacement German Backlit Keyboard for Lenovo Thinkpad T470 T480;6;0.23%;7;0.19%;100.00%;0;0;0.00%;0.00%;$0.00;$0.00;0;0
B08VQFLB7S;B08VHJNGBW;Replacement French Backlit Keyboard for Lenovo Thinkpad T470 T480;5;0.19%;9;0.24%;88.89%;0;0;0.00%;0.00%;$0.00;$0.00;0;0
B08VYRFN2S;B08VYBVXV6;Replacement Hungarian Backlit Keyboard for Lenovo Thinkpad P50 P70;1;0.04%;1;0.03%;0.00%;0;0;0.00%;0.00%;$0.00;$0.00;0;0
B08VYRFN2S;B08VYD6WWK;Replacement Czech Backlit Keyboard for Lenovo Thinkpad P50 P70;2;0.08%;2;0.05%;100.00%;0;0;0.00%;0.00%;$0.00;$0.00;0;0
B08VYRFN2S;B08VYTDSGB;Replacement Swedish – Finnish Backlit Keyboard for Lenovo Thinkpad P50 P70;2;0.08%;2;0.05%;100.00%;0;0;0.00%;0.00%;$0.00;$0.00;0;0
B08VYRFN2S;B08VYWGDW5;Replacement Dutch Backlit Keyboard for Lenovo Thinkpad P50 P70;1;0.04%;1;0.03%;100.00%;0;0;0.00%;0.00%;$0.00;$0.00;0;0
B0B44P23W4;B08WL8JJR9;New Replacement French Non-Backlit Keyboard for HP 450 G0 G1 G2 455 G1 G2 470 G0 G1 G2 US 650 G1 655 G1;1;0.04%;1;0.03%;100.00%;0;0;0.00%;0.00%;$0.00;$0.00;0;0
B0B44P23W4;B08WLFVRCX;New Replacement US Non-Backlit Keyboard for HP 450 G0 G1 G2 455 G1 G2 470 G0 G1 G2 US 650 G1 655 G1;4;0.15%;4;0.11%;0.00%;0;0;0.00%;0.00%;$0.00;$0.00;0;0
B08WLGBYM1;B08WLGG694;Replacement Italian Backlit Keyboard for HP 840 G1, 845 G1, 850 G1, 840 G2, 845 G2, 850 G2;2;0.08%;2;0.05%;100.00%;0;0;0.00%;0.00%;$0.00;$0.00;0;0
B08WLGBYM1;B08WLGK6GH;Replacement French Backlit Keyboard for HP 840 G1, 845 G1, 850 G1, 840 G2, 845 G2, 850 G2;5;0.19%;5;0.13%;100.00%;0;0;0.00%;0.00%;$0.00;$0.00;0;0
B08WLGBYM1;B08WLGKDFK;Replacement UK Backlit Keyboard for HP 840 G1, 845 G1, 850 G1, 840 G2, 845 G2, 850 G2;2;0.08%;2;0.05%;100.00%;0;0;0.00%;0.00%;$0.00;$0.00;0;0
B0927Z2S4H;B0927YQ29W;Replacement Spanish Non-Backlit Keyboard for Lenovo Thinkpad B50-80 B50-30 B50-30 B50-45 B50-70;1;0.04%;1;0.03%;100.00%;0;0;0.00%;0.00%;$0.00;$0.00;0;0
B098PMLSHL;B0977NH7YD;Replacement Belgian Backlit Keyboard for Dell Latitude E4300, Latitude E4310, Latitude E4200;1;0.04%;1;0.03%;100.00%;0;0;0.00%;0.00%;$0.00;$0.00;0;0
B098PMLSHL;B0977Q19GL;Replacement UK Backlit Keyboard for Dell Latitude E4300, Latitude E4310, Latitude E4200;2;0.08%;2;0.05%;100.00%;0;0;0.00%;0.00%;$0.00;$0.00;0;0
B098PMLSHL;B0977QYXLX;Replacement Swiss Backlit Keyboard for Dell Latitude E4300, Latitude E4310, Latitude E4200;1;0.04%;1;0.03%;100.00%;0;0;0.00%;0.00%;$0.00;$0.00;0;0
B098PNL7KK;B098PJPFC9;Replacement German Non-Backlit Keyboard for Dell Latitude E5550 E5570 5580 5590;1;0.04%;1;0.03%;100.00%;0;0;0.00%;0.00%;$0.00;$0.00;0;0
B098PL431M;B098PKBWNZ;Replacement German Backlit Keyboard for Dell Latitude E5450, Latitude E7450, Latitude E7470;7;0.27%;14;0.38%;100.00%;0;0;0.00%;0.00%;$0.00;$0.00;0;0
B098PMLSHL;B098PKT53D;Replacement Swiss Non-Backlit Keyboard for Dell Latitude E4300, Latitude E4310, Latitude E4200;1;0.04%;1;0.03%;100.00%;0;0;0.00%;0.00%;$0.00;$0.00;0;0
B098PNL7KK;B098PKTTMH;Replacement Swiss Non-Backlit Keyboard for Dell Latitude E5550 E5570 5580 5590;1;0.04%;1;0.03%;100.00%;0;0;0.00%;0.00%;$0.00;$0.00;0;0
B098PNL7KK;B098PL5CTP;Replacement Scandinavian – Nordic Non-Backlit Keyboard for Dell Latitude E5550 E5570 5580 5590;1;0.04%;1;0.03%;100.00%;0;0;0.00%;0.00%;$0.00;$0.00;0;0
B098PNL7KK;B098PL7ZVZ;Replacement French Non-Backlit Keyboard for Dell Latitude E5550 E5570 5580 5590;1;0.04%;1;0.03%;100.00%;0;0;0.00%;0.00%;$0.00;$0.00;0;0
B098PMLSHL;B098PLL8MT;Replacement Belgian Non-Backlit Keyboard for Dell Latitude E4300, Latitude E4310, Latitude E4200;1;0.04%;1;0.03%;100.00%;0;0;0.00%;0.00%;$0.00;$0.00;0;0
B098PL431M;B098PLPCF3;Replacement UK Backlit Keyboard for Dell Latitude E5450, Latitude E7450, Latitude E7470;3;0.11%;3;0.08%;100.00%;0;0;0.00%;0.00%;$0.00;$0.00;0;0
B098PMLSHL;B098PLW1G3;Replacement UK Non-Backlit Keyboard for Dell Latitude E4300, Latitude E4310, Latitude E4200;14;0.53%;15;0.40%;100.00%;0;0;0.00%;0.00%;$0.00;$0.00;0;0
B098PNL7KK;B098PM58PG;Replacement Belgian Backlit Keyboard for Dell Latitude E5550 E5570 5580 5590;1;0.04%;1;0.03%;100.00%;0;0;0.00%;0.00%;$0.00;$0.00;0;0
B098PL431M;B098PM99NZ;Replacement Swiss Non-Backlit Keyboard for Dell Latitude E5450, Latitude E7450, Latitude E7470;1;0.04%;1;0.03%;100.00%;0;0;0.00%;0.00%;$0.00;$0.00;0;0
B098PNL7KK;B098PMGXMR;Replacement Belgian Non-Backlit Keyboard for Dell Latitude E5550 E5570 5580 5590;1;0.04%;1;0.03%;100.00%;0;0;0.00%;0.00%;$0.00;$0.00;0;0
B09DYCNX39;B098PMJSH8;Replacement UK Non-Backlit Keyboard for Dell Latitude E6400, Latitude E6410, Latitude E6500, Latitude E6510;2;0.08%;2;0.05%;100.00%;0;0;0.00%;0.00%;$0.00;$0.00;0;0
B098PL431M;B098PMT35M;Replacement Spanish Non-Backlit Keyboard for Dell Latitude E5450, Latitude E7450, Latitude E7470;3;0.11%;4;0.11%;100.00%;0;0;0.00%;0.00%;$0.00;$0.00;0;0
B098PNL7KK;B098PN25RK;Replacement Italian Non-Backlit Keyboard for Dell Latitude E5550 E5570 5580 5590;1;0.04%;1;0.03%;100.00%;0;0;0.00%;0.00%;$0.00;$0.00;0;0
B098PMLSHL;B098PN6RCT;Replacement Spanish Non-Backlit Keyboard for Dell Latitude E4300, Latitude E4310, Latitude E4200;3;0.11%;3;0.08%;100.00%;0;0;0.00%;0.00%;$0.00;$0.00;0;0
B098PL431M;B098PNBB7S;Replacement French Backlit Keyboard for Dell Latitude E5450, Latitude E7450, Latitude E7470;1;0.04%;1;0.03%;100.00%;0;0;0.00%;0.00%;$0.00;$0.00;0;0
B098PL431M;B098PNCGZ6;Replacement UK Non-Backlit Keyboard for Dell Latitude E5450, Latitude E7450, Latitude E7470;7;0.27%;7;0.19%;100.00%;0;0;0.00%;0.00%;$0.00;$0.00;0;0
B09DYCNX39;B098PNKV53;Replacement French Non-Backlit Keyboard for Dell Latitude E6400, Latitude E6410, Latitude E6500, Latitude E6510;1;0.04%;1;0.03%;100.00%;0;0;0.00%;0.00%;$0.00;$0.00;0;0
B09L7CSYD4;B098PNLHMY;Replacement German Backlit Keyboard for Dell Latitude E7250. Latitude E5250, Latitude E5270;1;0.04%;1;0.03%;100.00%;0;0;0.00%;0.00%;$0.00;$0.00;0;0
B098PL431M;B098PNQ1JS;Replacement US Backlit Keyboard for Dell Latitude E5450 E5470 E7450 E7470 7480 7490 5480 5488 Laptop No Frame, with Pointer, with Backlight;25;0.95%;39;1.04%;94.87%;0;0;0.00%;0.00%;$0.00;$0.00;0;0
B098PL431M;B098PNRSM5;Replacement Spanish Backlit Keyboard for Dell Latitude E5450, Latitude E7450, Latitude E7470;1;0.04%;2;0.05%;100.00%;0;0;0.00%;0.00%;$0.00;$0.00;0;0
B098PL431M;B098PNT2K6;Replacement US International Backlit Keyboard for Dell Latitude E5450, Latitude E7450, Latitude E7470;2;0.08%;3;0.08%;100.00%;0;0;0.00%;0.00%;$0.00;$0.00;0;0
B098PL431M;B098PNXMG2;Replacement Belgian Backlit Keyboard for Dell Latitude E5450, Latitude E7450, Latitude E7470;2;0.08%;2;0.05%;100.00%;0;0;0.00%;0.00%;$0.00;$0.00;0;0
B098PL431M;B098PP16G5;Replacement German Non-Backlit Keyboard for Dell Latitude E5450, Latitude E7450, Latitude E7470;1;0.04%;1;0.03%;100.00%;0;0;0.00%;0.00%;$0.00;$0.00;0;0
B098PNL7KK;B098PPQJ4Z;Replacement Swiss Backlit Keyboard for Dell Latitude E5550 E5570 5580 5590;2;0.08%;3;0.08%;100.00%;0;0;0.00%;0.00%;$0.00;$0.00;0;0
B098PL431M;B098PQ2LDL;Replacement Swiss Backlit Keyboard for Dell Latitude E5450, Latitude E7450, Latitude E7470;1;0.04%;1;0.03%;100.00%;0;0;0.00%;0.00%;$0.00;$0.00;0;0
B09DYCNX39;B098PR9VGP;Replacement Spanish Non-Backlit Keyboard for Dell Latitude E6400, Latitude E6410, Latitude E6500, Latitude E6510;10;0.38%;12;0.32%;100.00%;0;0;0.00%;0.00%;$0.00;$0.00;0;0
B08WLGMWXF;B09GPZCC8N;New Replacement Swiss Backlit Keyboard for HP 1040 G1, 1040, 1040 G2;1;0.04%;1;0.03%;100.00%;0;0;0.00%;0.00%;$0.00;$0.00;0;0
B0B8SXKHCB;B0B8SXW7QM;Replacement US International Backlit Keyboard for HP 840 G5, 840 G6, 745 G5, 745 G6, ZBook 14u G5, 14u G6;1;0.04%;1;0.03%;100.00%;0;0;0.00%;0.00%;$0.00;$0.00;0;0
B0B8SXKHCB;B0B8T1NY17;Replacement UK Backlit Keyboard for HP 840 G5, 840 G6, 745 G5, 745 G6, ZBook 14u G5, 14u G6;2;0.08%;6;0.16%;100.00%;0;0;0.00%;0.00%;$0.00;$0.00;0;0
B0B8XDCJSN;B0B8XDDKDM;Replacement Spanish Backlit Keyboard for HP 240 G1, 245 G1, 246 G1, 255 G1, 250 G1;1;0.04%;1;0.03%;100.00%;0;0;0.00%;0.00%;$0.00;$0.00;0;0
B0B86RVJRK;B0B94XBPDT;Replacement Spanish Backlit Keyboard for Lenovo Thinkpad T490s T495s;1;0.04%;1;0.03%;100.00%;0;0;0.00%;0.00%;$0.00;$0.00;0;0
B0B86RVJRK;B0B94Y26XP;Replacement German Backlit Keyboard for Lenovo Thinkpad T490s T495s;1;0.04%;2;0.05%;100.00%;0;0;0.00%;0.00%;$0.00;$0.00;0;0